"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1949,112,115,145,171,196,204,242,284,315,340,360,417
1950,118,126,150,180,196,188,233,277,301,318,342,391
1951,132,141,178,193,236,235,267,317,356,362,406,419
1952,129,135,163,181,235,227,269,313,348,348,396,461
1953,121,125,172,183,229,234,270,318,355,363,420,472
1954,135,149,178,218,243,264,315,374,422,435,472,535
1955,148,170,199,230,264,302,364,413,465,491,548,622
1956,148,170,199,242,272,293,347,405,467,505,559,606
1957,136,158,184,209,237,259,312,355,404,404,463,508
1958,119,133,162,191,211,229,274,306,347,359,407,461
1959,104,114,146,172,180,203,237,271,305,310,362,390
1960,118,140,166,194,201,229,278,306,336,337,405,432
